Plugin Name,Plugin Description,End User Instructions,Plugin Contact Email,Plugin Terms,Plugin Developer Website
ABC Music Notation,"Plugin for converting ABC music notation to wav, midi and postscript files.",n/a,n/a,n/a,n/a
ABCmouse,Provides fun and educational learning activities for children 2-8 years old.,n/a,n/a,n/a,n/a
Abridged Due Diligence,"Discover the details! Search through recent SEC filings, with links to deeper analysis.",n/a,n/a,n/a,n/a
Access Link,Access any links on the web and get the information you need.,n/a,n/a,n/a,n/a
Acquire.com,Everything you need to buy and sell startups.,n/a,n/a,n/a,n/a
Agones,Agones provides soccer (football) results for matches played all over the world in the past 15 years.,n/a,n/a,n/a,n/a
AI Agents,"Unleashing the power of multiple AIs: One goal, limitless productivity.",n/a,n/a,n/a,n/a
AI Showcase,Discover the perfect AI tool for your personal and business needs with AI Showcase.,n/a,n/a,n/a,n/a
Ai Tool Hunt,"Explore the ideal AI solutions for all use cases, drawn from the most comprehensive global database of AI tools.",n/a,n/a,n/a,n/a
AI2sql,Converts a natural language text into an SQL query.,n/a,n/a,n/a,n/a
AITickerChat,Retrieve USA stock insights from SEC filings as well as Earnings Call Transcripts.,n/a,n/a,n/a,n/a
Algorithma,Shape your virtual life with in this immersive life simulator game to begin Type /start to begin.,n/a,n/a,n/a,n/a
AmazingTalker,Elevate your language learning at any level with personalized 1-on-1 online lessons from tutors across the world.,n/a,n/a,n/a,n/a
Ambition,Search millions of jobs near you.,"1. Specify Job Preferences: Start by thinking about what kind of job you're looking for. This could include factors like the job title, industry, level of seniority, and location.

2. Submit Your Request: Once you have an idea of what you're looking for, you can ask the system to find matching jobs. For example, you might say something like ""Find software engineering jobs in San Francisco.""

3. Review the Results: The system will then present you with a list of jobs that match your criteria. Each result will include the job title, the hiring company, the location, the compensation, a URL for more details, and a brief description of the job.

4. Ask for More Details: If you're interested in a particular job and want more information, you can ask the system for more details. You might say, for example, ""Tell me more about the first job on the list.""

5. Visit the Job Page: For the most complete and up-to-date information about a job, you can visit the job page. Just follow the URL provided with each job listing.

6. Adjust Your Search: If you don't find what you're looking for, try adjusting your search criteria. Be as specific as possible to get the most relevant results.

Remember, the goal of the Ambition plugin is to help you find relevant jobs. It pulls from real job postings, so if no jobs match your criteria, it won't make up results. For accurate and detailed information, always visit the job page directly.",support@remoteambition.com,https://remoteambition.com/terms,https://remoteambition.com/
APEX Map,Checking the current APEX Legends Ranked Map.,n/a,n/a,n/a,n/a
Appy Pie App Builder,AI-powered Text-to-App Generator turns your app idea into Android and iOS apps- just provide text input.,n/a,n/a,n/a,n/a
AskYourPDF,"Unlock the power of your PDFs!, dive into your documents, find answers, and bring information to your fingertips.",n/a,n/a,n/a,n/a
Aus Petrol Prices,Ask for the average daily petrol price for any state or capital city region in Australia!,n/a,n/a,n/a,n/a
Aus Surf Report,Get today's surf report for any break throughout Australia!,n/a,n/a,n/a,n/a
AutoInfra1,"Talk to your Servers. Works with AWS, GCP, Azure, and anywhere you can ssh!",n/a,n/a,n/a,n/a
B12 AI Websites,"Create a professional, engaging, and user-friendly website for your business in seconds using AI.",n/a,n/a,n/a,n/a
Bardeen,Create and run automations on the most popular web services.,n/a,n/a,n/a,n/a
Bibliography Crossref,Search publications and generate bibtex bibliographies using Crossref and Zotero.,n/a,n/a,n/a,n/a
Bitcoin Sentiment,Track the current price of Bitcoin and the market sentiment based on the last 20 news media mentions!,n/a,n/a,n/a,n/a
BizToc,Search BizToc for business & finance news.,n/a,n/a,n/a,n/a
BlockAtlas,"Search the US Census! Find data sets, ask questions, and visualize.",n/a,n/a,n/a,n/a
Bohita,Create apparel with any image you can describe! Get it delivered right to your door.,n/a,n/a,n/a,n/a
Bookworm,"AI-powered personalized book recommendations, scanning countless titles to find your perfect read.",n/a,n/a,n/a,n/a
Boolio,The easiest way to analyze global stock values with the power of quantitative factor methodologies.,n/a,n/a,n/a,n/a
Bramework,"Find keywords, generate content briefs, perform SEO analysis, and extract SEO information.",n/a,n/a,n/a,n/a
Brandfetch,"Retrieve company and brand data including logos, colors, fonts, and other brand information.",n/a,n/a,n/a,n/a
BuyWisely,Compare Prices & Discover the Latest Offers from thousands of online shops in Australia.,n/a,n/a,n/a,n/a
C3 Glide,"Get live aviation data for pilots. Ask questions about METARs, TAFs, NOTAMs for flight planning.",n/a,n/a,n/a,n/a
